-358	-360	-366	-368	-389	-391	-398	-400	-458	-460	-466	-468	-489	-491	-498	-500
-357	-359	-365	-367	-388	-390	-397	-399	-457	-459	-465	-467	-488	-490	-497	-499
-354	-356	-363	-364	-385	-387	-393	-395	-454	-456	-463	-464	-485	-487	-493	-495
-353	-355	-361	-362	-384	-386	-392	-394	-453	-455	-461	-462	-484	-486	-492	-494
-342	-344	-350	-352	-373	-375	-381	-383	-442	-444	-450	-452	-473	-475	-481	-483
-341	-343	-349	-351	-372	-374	-380	-382	-441	-443	-449	-451	-472	-474	-480	-482
-338	-340	-346	-348	-370	-372	-377	-379	-438	-440	-446	-448	-470	-472	-477	-479
-337	-339	-345	-347	-369	-371	-376	-378	-437	-439	-445	-447	-469	-471	-476	-478
-308	-310	-316	-318	-339	-341	-348	-350	-408	-410	-416	-418	-439	-441	-448	-450
-307	-309	-315	-317	-338	-340	-347	-349	-407	-409	-415	-417	-438	-440	-447	-449
-304	-306	-313	-314	-335	-337	-343	-345	-404	-406	-413	-414	-435	-437	-443	-445
-303	-305	-311	-312	-334	-336	-342	-344	-403	-405	-411	-412	-434	-436	-442	-444
-292	-294	-300	-302	-323	-325	-331	-333	-392	-394	-400	-402	-423	-425	-431	-433
-291	-293	-299	-301	-322	-324	-330	-332	-391	-393	-399	-401	-422	-424	-430	-432
-288	-290	-296	-298	-320	-322	-327	-329	-388	-390	-396	-398	-420	-422	-427	-429
-287	-289	-295	-297	-319	-321	-326	-328	-387	-389	-395	-397	-419	-421	-426	-428
